5 5 3 55 0b0a478f35
5 5 4 55 0b1d267f4e
3 55 a8b106000
1 0 56 681058e400
2 0 56 a9eec480a
4 0 0 56 67fc7dfb56
5 0 1 56 678a8deb63
5 0 2 56 679d6ac29c
5 0 3 56 67b049af6a
5 0 4 56 67c328a2ed
5 0 5 56 67d60ea336
1 1 56 6dcb473c00
2 1 56 ab1c27510
4 1 0 56 6da4962b52
5 1 0 56 6db8719134
5 1 2 56 6d45830551
5 1 3 56 6d5861ee19
5 1 4 56 6d6b40de3b
5 1 5 56 6d7e26db13
1 2 56 6120dcf600
2 2 56 ac49e795b
4 2 0 56 60e74fcb8d
5 2 0 56 60fb2b3a26
5 2 1 56 610e016d00
5 2 3 56 609b1b6ec1
5 2 4 56 60adfa6701
5 2 5 56 60c0e06bbe
1 3 56 faa6b61c00
2 3 56 ad77dcef4
4 3 0 56 fa5a49c081
5 3 0 56 fa6e2524f4
5 3 1 56 fa80fb4d6a
5 3 2 56 fa93d74dc3
5 3 4 56 fa20f47b0e
5 3 5 56 fa33da754e
1 4 56 9a2a8e2000
2 4 56 aea5eb7b3
4 4 0 56 99cb40c6c0
5 4 0 56 99df1c3015
5 4 1 56 99f1f25d65
5 4 2 56 9a04ce625a
5 4 3 56 9a17adb67d
5 4 5 56 99a4d1729d
1 5 56 0bc8a96400
2 5 56 afd3ee20f
4 5 0 56 0b567bd49a
5 5 0 56 0b6a573fbb
5 5 1 56 0b7d2d6f3d
5 5 2 56 0b9009762d
5 5 3 56 0ba2e8ccbf
5 5 4 56 0bb5c9b7f3
3 56 b23ad7600
1 0 57 68a8fa1c00
2 0 57 b378d563c
4 0 0 57 68951b3b1e
5 0 1 57 68232f979e
5 0 2 57 68360ba1e5
5 0 3 57 6848eafe5a
5 0 4 57 685bcbecf6
5 0 5 57 686eac1c97
1 1 57 6e63e7d200
2 1 57 b4a630250
4 1 0 57 6e3d334a04
